遥感：remote sensing
寒武纪：Cambrian period
吉林大学：Jilin University
无损分析：nondestructive analysis
南唐：Southern Tang
棉纺织工业：Cotton Textile Industry
生态恶化：ecological deterioration
稻盛和夫：Inamori Kazuo
天性：human nature
石油加工：petroleum processing
黑陶：black pottery
社会经济效益：social and economic benefit
20世纪初：the early 20th century
淮北地区：Huaibei region
陕南：south Shaanxi
宣教：Propaganda and Education
信息资料：information data
环境恶化：environmental deterioration
酿酒业：liquor-making industry
赈灾：disaster relief
主要特点：main features
朱舜水：Zhu Shunshui
材料组成：material composition
陕甘宁边区：Shaanxi-Gansu-Ningxia Border Area
北洋政府：Northern Warlords Government
制度演变：system evolution
西夏：Western Xia
理论模式：theoretical mode
城市危机：City crisis
文化特色：cultural characteristic
消费差异：Consumption difference
动物资源：animal resources
清王朝：The Qing Dynasty
伦理规范：Ethical norms
科普宣传：popular science propaganda
祭祀：sacrificial rites
学术评价：academic appraisal
西学：western science
性文化：Sex culture
教学实效性：teaching effect
文化素养：cultural quality
陈修园：Chen Xiuyuan
隋唐：The Sui and Tang dynasties
生与死：life and death
反腐倡廉：combat corruption and build a clean government
农田水利：farmland water conservancy
孔庙：confucian temple
皇家园林：imperial garden
碳纤维加固：carbon fiber reinforcement
文化基因：Culture gene
聚落考古：settlement archaeology
水事纠纷：water dispute
广西省：Guangxi Province
女性解放：women's liberation
文化特性：Cultural characteristics
政府治理：Government administration
中国模式：China model
文化变革：cultural change
劳动政策：labor policy
批评方法：Criticism Method
岭南地区：Lingnan area
石窟艺术：Grotto Art
民族形式：National Form
澧水流域：Lishui river basin
建筑特点：architectural characteristics
外交思想：Diplomatic Ideology
楠溪江：Nanxi River
时间观念：time concept
佛寺：Buddhist temples
丝绸贸易：silk trade
悲剧结局：tragic ending
历史文献：historical literature
社会美：social beauty
20世纪60年代：the 1960s
性别研究：gender study
冯雪峰：FENG Xue-feng
多元社会：pluralistic society
写作时间：Writing Time
城市史：City history
状元：number one scholar
时代意义：time significance
俗语：common saying
福建事变：Fujian Incident
个性解放：individuality liberation
利益最大化：benefit maximization
群众性：mass character
江南：south China
司马光：Si Ma-guang
抗日根据地：Anti-Japanese base
工作作风：work style
生卒年：years of birth and death
家庭角色：family role
国际经济秩序：international economic order
传统道德教育：traditional moral education
艺术起源：origin of art
婚恋：marriage and love
军事指挥：military command
气候突变：climate jump
制度机制：system mechanism
水稻栽培：rice cultivation
根据地：Base Area
民族音乐学：national musicology
古代社会：ancient society
原住民：indigenous people
家庭消费：household consumption
佛教信仰：Buddhism Belief
黔中：central Guizhou
公债：public debt
山东大学：Shandong University
诸葛亮：Zhu Ge-liang
经验启示：experience and inspiration
刘坤一：Liu Kunyi
国会：the Congress
出土文献：Unearthed literature
社交网络：social network
教育部：Ministry of Education
胡政之：Hu Zhengzhi
巴黎和会：Paris Peace Conference
新闻实践：news practice
西方传教士：western missionary
新闻采访：news interview
计划经济体制：planned economic system
于右任：yu you-ren
马礼逊：Robert Morrison
谭嗣同：Tan Si-tong
帛书：silk manuscript
古村镇：ancient villages and towns
乡村教育：Village education
《后汉书》：HOU HAN SHU
全民所有制：ownership by the whole people
国家控制：state control
民族资本：national capital
中国工业：Chinese industry
南京大学：Nanjing University
城乡关系：urban-rural relation
公务员制度：public servant system
科技思想：science and technology thought
乡村经济：rural economy
宗炳：Zong Bing
天文观测：astronomical observation
银行会计：bank accounting
楚人：Chu people
审美趋向：aesthetic tendency
社会教化：social education
李四光：Li Siguang
中原文化：central plain culture
世界革命：World Revolution
南京临时政府：Nanjing Provisional Government
费正清：John King Fairbank
大战略：grand strategy
东南亚国家：Southeast Asian countries
治学方法：research method
政治象征：political symbol
苏联共产党：the Soviet Communist Party
新学：New Learning
壁画艺术：Mural art
中晚唐：the middle and late Tang Dynasty
郡县制：the system of prefectures and counties
风俗文化：custom culture
商朝：Shang Dynasty
个人经历：Personal Experience
季羡林：Ji Xianlin
同业公会：Trade association
晚清政府：late Qing government
唐玄宗：TANG Xuan-zong
稷下学宫：Jixia Academy
官本位：official rank standard
神话思维：Myth thinking
人类历史：human history
吴楚文化：Wu-Chu culture
顾太清：Gu Taiqing
20世纪50年代：the 1950s
新县制：New County System
三星堆文化：SanXingDui Culture
伊斯兰世界：Islamic World
新生活运动：New Life Movement
宗教道德：Religious morality
邹容：Zou Rong
法律文本：legal texts
卜辞：oracle inscriptions
马援：Ma Yuan
儒生：Confucian scholar
拜占廷帝国：Byzantine Empire
农会：peasant association
国民性：national characteristics
职业定位：professional orientation
儒学复兴：revival of Confucianism
侠文化：Chivalrous culture
杜佑：DU You
遵义会议：Zunyi Conference
工党：Labor Party
史学史：history of historiography
绥靖政策：appeasement policy
岑毓英：Cen Yuying
军事防御：military defense
宋恕：Song Shu
荷马史诗：Homeric epics
唐继尧：Tang Jiyao
区域史：Regional History
新左派：New Left
宋代文学：literature in the Song Dynasty
经济扩张：Economic expansion
王士祯：Wang Shizhen
政府间关系：Intergovernmental Relations
审美特性：aesthetic feature
扫盲教育：literacy education
陈济棠：Chen Jitang
东印度公司：the East India Company
魏征：Wei Zheng
德行：moral conduct
古典时期：Classical Age
建国初期：the early days of New China
战时经济：Wartime Economy
郑州商城：Zhengzhou Shang City
经济繁荣：economic prosperity
合法性基础：foundation of legitimacy
历史选择：historical choice
故事类型：story type
参与权：participation right
关学：Guan School
石介：Shi Jie
布雷顿森林体系：Bretton Woods System
罗汝芳：Luo Rufang
先商文化：Pre-Shang Culture
宗族势力：clan force
警察职能：police function
胡耀邦：Hu Yaobang
武训：Wu Xun
小传统：little tradition
历史题材：historical theme
祥瑞：auspicious sign
张良：Zhang Liang
吴玉章：Wu Yuzhang
赵国：Zhao state
六经：the Six Classics
东京审判：Tokyo Trial
日本教育：Japanese education
现代化思想：modernization thoughts
肉刑：corporal punishment
杨一清：Yang Yiqing
尚武精神：martial spirit
颜真卿：Yan zhenqing
古巴比伦：Old Babylon
耶稣会：society of Jesus
唐顺之：Tang Shunzhi
人生悲剧：life tragedy
西方社会：Western society
谭献：Tan Xian
历史趋势：historical trend
康熙帝：Kangxi emperor
第三党：the Third Party
韦拔群：Wei Baqun
血缘关系：blood relationship
贾湖遗址：Jiahu site
地方精英：local elite
中国人物画：Chinese figure painting
李敖：Li Ao
60年：sixty years
商业社会：commercial society
宗教组织：religious organization
宗教艺术：religious art
马寅初：Ma Yinchu
子产：Zi Chan
裘沛然：Qiu Peiran
县政府：county government
援助政策：aid policy
节约用水：saving water
耀州窑：Yaozhou kiln
艺术文化：art culture
闽侯县：Minhou County
京杭运河：Jinghang Canal
历史贡献：historic contributions
石质文物：stone relics
救灾：disaster rescue
鸭绿江：yalujiang river
气候变迁：climatic change
主要措施：main measures
国际因素：international factors
经济作物：economic crop
黔东南：Southeast of Guizhou
因素集：factor sets
环境政治：environmental politics
自然地理：natural geography
图像特征：Image characteristic
水旱灾害：floods and droughts
治水：water control
社会危害：Social harm
敬畏生命：reverence for life
科学观：science outlook
保护方法：protection method
磁州窑：Cizhou kiln
集权：centralization of power
数据质量管理：data quality management
热劣化：thermal degradation
中国新疆：xinjiang China
辽东：Eastern Liaoning Province
流动机制：flow mechanism
残留物分析：residue analysis
东北亚地区：Northeast Asia
海运：Ocean shipping
宁夏南部：Southern Ningxia
暨南大学：Jinan University
地理专业：geography specialty
汉唐：Han and Tang dynasty
伟烈亚力：Alexander Wylie
理论问题：theoretical issues
风格特征：style feature
医疗卫生：medical and health work
战略方针：strategic policy
文化生态环境：cultural ecological environment
生态美：ecological aesthetics
京族：Jing nationality
合作医疗制度：cooperative medical system
法律规定：Legal regulation
系统思想：Systematic thought
医学家：Distinguished Physicians
后勤保障：logistics guarantee
科研创新：Scientific research innovation
传播控制：transmission control
魏晋时期：Wei and Jin Dynasties
现代化研究：Modernization Research
东西方：East and West
基层党组织：grass-roots Party organization
卫生工作：Health work
绍兴县：ShaoXing County
铜山县：Tongshan County
湖北地区：hubei province
西洋医学：western medicine
社会变化：social change
薏苡：Coix lacryma-jobi
蒙医学：Mongolian medicine
孝道：Filial morality
仡佬族：Gelao nationality
社会主义新农村建设：socialism new rural reconstruction
平民：common people
历史保护：historic conservation
地理单元：geographical unit
封建制：feudal system
基本思想：basic idea
汇编：assembly language
海派文化：Shanghai-style culture
人格独立：independence of personality
女子教育：women's education
必然选择：Necessary choice
思维过程：thought process
中西比较：comparison between China and western countries
存在空间：existential space
中国历史：History of China
汉传佛教：Chinese Buddhism
邵飘萍：Shao Piaoping
世界文化遗产：world culture heritage
管理活动：management activity
教育事业：educational undertakings
操作流程：operation process
戏曲理论：dramatic theory
核裁军：nuclear disarmament
黄帝：Yellow Emperor
思想解放：mind emancipation
菏泽：Heze City
中国研究：Chinese study
农业革命：agricultural revolution
政治倾向：political tendency
科技教育：education of science and technology
科学认知：scientific cognition
唐宋时期：Tang and Song dynasty
文化形态：cultural formation
新视野：new perspective
三角面片：triangular facet
宋初：the early Song Dynasty
区域研究：Region Research
测绘学：surveying and mapping
湖南经济：Hunan economy
宋：Song Dynasty
生殖崇拜：worship of reproduction
怒族：Nu Nationality
统计资料：statistical data
民族融合：national amalgamation
族田：clan field
解放区：liberated area
经济法律：Economic law
经济差异：Economic differences
主体功能：main function
合作运动：cooperative movement
经济变迁：economic change
农业思想：Agricultural Thought
桂西南：Southwest Guangxi
穆藕初：Mu Ouchu
保甲制度：Bao-Jia system
基层社会：grass-roots society
经营形式：management form
《七略》：Qi Lue
邓拓：Deng Tuo
艺术活动：art activity
当代青年：modern youth
档案文献：archival documents
务实精神：pragmatic spirit
非正式约束：Informal Constraints
《泰晤士报》：the Times
梁武帝：Emperor Liangwu
和平宪法：Peace Constitution
典型人物：typical characters
话语权力：Power of Discourse
孔安国：Kong Anguo
制度选择：Institutional selection
学术声誉：academic reputation
雕版印刷：block printing
蒋经国：Jiang Jingguo
出土文物：Unearthed Relics
汉书：Han Shu
颜师古：Yan Shigu
家长制：patriarchal system
强制性制度变迁：compulsory institutional change
新文化史：new cultural history
《左氏会笺》：Zuo Shi Hui Jian
忽必烈：Kublai Khan
用典：using allusions
石制品：lithic artifacts
技术观：view of technology
楚墓：Chu Tomb
中原：Central Plain
社会观念：social concept
抗战文化：anti-Japanese war culture
职业声望：occupational prestige
吴越文化：Wuyue Culture
伦理关系：ethical relation
《东方杂志》：The Eastern Miscellany
刘晏：Liu Yan
裴李岗文化：Peiligang culture
李淳风：Li Chunfeng
吴大澂：Wu Dacheng
文化特点：Cultural features
社会解放：social liberation
俄国革命：Russian Revolution
民族观：national concept
《老乞大》：Lao Qi Da
人情：Human sentiment
文官：civil service
晚唐：late Tang
乡村现代化：rural modernization
双重标准：double standards
两面性：dual character
文化交往：Cultural communication
社区认同：Community Identity
陈光甫：Chen Guangfu
祭祖：ancestor worship
女娲：Nu Wa
史学批评：historical criticism
四项基本原则：four cardinal principles
宋学：Song studies
祭文：funeral oration
唐律：Tang law
皇权：royal power
施米特：Carl Schmitt
海登·怀特：Hayden White
民族宗教：national religion
商文化：Shang culture
人生境界：life state
新解：new interpretation
朱希祖：Zhu Xizu
地方教育：Local Education
形式合理性：form rationality
农民革命：peasant revolution
妇女运动：women's movement
历史批判：historical criticism
韩流：Korean Wave
斯大林模式：Stalin model
物质文化遗产：tangible cultural heritage
州政府：state government
人文发展：Human development
进步时代：Progressive Era
诗教：poetry education
战后日本：postwar Japan
王光祈：Wang Guangqi
火把节：Torch Festival
官学：official school
文明对话：Civilization dialogue
杨秀清：Yang Xiuqing
全球史：global history
大陆政策：mainland policy
国际共运：international communist movement
启蒙精神：enlightenment spirit
太平军：the Taiping army
晚清时期：the late Qing Dynasty
郭秉文：Guo Bingwen
张舜徽：Zhang Shun-hui
宗庙：ancestral temple
政治批评：political criticism
张家山汉简：Zhangjiashan Bamboo Slips
制定法：positive law
晁错：Chao Cuo
晁补之：Chao Bu-zhi
德昂族：De ang nationality
近代广西：modern Guangxi
福利改革：Welfare Reform
中华苏维埃共和国：Chinese Soviet Republic
罗隆基：Luo Longji
陈宏谋：Chen Hongmou
水崇拜：Water worship
犹太妇女：Jewish women
美国总统：American presidents
民间习俗：Folk custom
甲午战争：Sino-Japanese War of 1894-1895
先秦诸子：Pre-Qin scholars
富农：Rich Peasant
许景澄：Xu Jingcheng
民族特性：national identity
陈傅良：Chen Fuliang
中国现代史：modern Chinese history
右翼：right wing
葬俗：Burial Custom
皮毛贸易：Fur trade
魏晋玄学：metaphysics in the Wei and Jin Dynasties
社会福利政策：social welfare policy
留日学生：returned students from Japan
第二次柏林危机：the Second Berlin Crisis
张作霖：Zhang Zuolin
考辩：textual research
孝亲：Filial piety
舞蹈创作：dance creation
穆斯林兄弟会：Muslim Brotherhood
陈炯明：Chen Jiongming
经济策略：economic strategy
人口思想：population thought
裴度：PEI Du
国家治理：state governance
宗族组织：clan organization
贬谪文学：relegation literature
韩国独立运动：Korean Independence Movement
夫妻关系：conjugal relation
阿伦特：Hannah Arendt
卒年：death year
话语方式：mode of discourse
工农联盟：worker-peasant alliance
万斯同：Wan Si-tong
不平等条约：unequal treaty
孟称舜：Meng Chengshun
军事现代化：Military Modernization
中国学：China Studies
田文镜：Tian Wenjing
社会状况：social condition
翦伯赞：Jian Bozan
殿试：Palace Examination
词源学史：history of etymology
东亚一体化：East Asian Integration
美国汉学：American Sinology
俗字：folk character
宗教认同：Religious Identity
武汉国民政府：Wuhan National Government
王肃：Wang Su
丁宝桢：Ding Baozhen
战争赔偿：war reparations
庸俗社会学：vulgar sociology
外蒙古：Outer Mongolia
德教：moral education
大传统：great tradition
民间传统文化：folk traditional culture
女神崇拜：goddess worship
文化诠释：cultural interpretation
政治博弈：political game
"九·一八"事变：the September 18th Incident
杜鲁门主义：Truman Doctrine
民主政权：democratic regime
凡尔赛体系：Versailles System
当代国际关系：Contemporary International Relations
自由经济：free economy
宋美龄：Song Meiling
游击战争：guerrilla war
民主共和：democratic republic
历史话语：historical discourse
经济支持：economic support
英雄崇拜：hero worship
难民救济：refugee relief
祢衡：Mi Heng
夫权：authority of husband
古代史：ancient history
越窑：Yue Kiln
历史建构：historical construction
崔述：CUI Shu
周保中：Zhou Baozhong
祈雨：praying for rain
陈兰彬：Chen Lanbin
资本主义工商业：capitalist industry and commerce
生态特征：ecological feature
乌江流域：Wujiang River
时空演变：spatio-temporal change
人品：moral character
黔东：eastern Guizhou
酒文化：alcoholic beverages culture
矿业遗迹：mining heritage
矿业开发：development of mining industry
云贵高原：Yunnan-Guizhou Plateau
洛阳：Luoyang City
大瑶山：Dayao Mountain
旱涝灾害：drought and flood disaster
南美：South America
历史阶段：historical stage
少数民族妇女：minority women
人口问题：population issue
理论化学：Theoretical chemistry
宗教信仰：religion belief
移民社会：immigrant society
建筑装饰：architectural ornament
饮食风俗：dietetic custom
人文生态：human ecology
李先念：Li Xiannian
利益博弈：Game Theory
工业文明：industry civilization
持久：stress rupture
分类分析：classified analysis
传统服饰：traditional costume
风流：air flow
清水江：Qingshui River
利用价值：use value
先秦时期：Pre-Qin Dynasty
矿产开发：mineral resources exploitation
华中：Central China
汉阳铁厂：Hanyang Iron Works
青花：blue and white
湟水流域：Huangshui Watershed
坝上地区：Bashang District
盐井：Salt well
井冈山：Jinggangshan Mountain
民众生活：people's life
传统习俗：traditional custom
赤峰地区：Chifeng region
辽西地区：West Liaoning
发生机制：occurrence mechanism
龙门石窟：the Longmen Grottoes
小冰期：The Little Ice Age
傣族：The Dai people
后梁：back beam
传统材料：traditional material
小区：residential area
旅游功能：tourist function
阿拉伯国家：Arab Countries
政府对策：Government Countermeasure
历史作用：historic role
消亡：wither away
川渝地区：Sichuan and Chongqing
讨论课：Discussion Course
维权：protect rights
清江流域：The Qingjiang River Valley
内蒙古地区：Inner Mongolia area
原则方法：principles and methods
学术特点：academic features
先天缺失：congenital absence
土遗址：earthen archaeological site
两性关系：sexual relation
东方：the Orient
实地调查：On-the-spot investigation
撒拉族：Salar nationality
罂粟：Papaver somniferum L
英国法：English Law
学术刊物：academic journals
中国朝鲜族：Chinese Korean
个案调查：Case study
心理结构：mental structure
城乡差异：difference between urban and rural areas
地位作用：status and function
汉化：Chinese localization
赣西北：Northwest Jiangxi
朱良春：Zhu Liangchun
李鸿章：Li Hung-chang
朝贡：pay tribute
乡村建设：country construction
性别关系：gender relation
科举制：the imperial examination system
俄罗斯族：Russ nationality
历史解释：historical interpretation
苏联模式：Soviet mode
会馆：guild hall
历史文化价值：historical and cultural value
国民革命军：the National Revolutionary Army
整体保护：Overall Protection
后现代理论：Postmodern Theory
建筑布局：architectural composition
休闲文化：recreational culture
传统村落：traditional villages
世界博览会：world expo
建筑历史：Architectural history
中央公园：Central Park
信息分类编码：information classification and coding
镇平县：Zhenping County
沈阳故宫：Shenyang Imperial Palace
聚落形态：settlement pattern
中国思想：Chinese thought
人口构成：population composition
吴文化：the Wu culture
当代启示：contemporary inspiration
党性原则：Party spirit principle
边界问题：boundary problem
租佃制：tenancy system
杨振宁：Yang Zhenning
新思想：new thoughts
中美文化：Chinese and American culture
中原地区：central plains region
时代特征：era characteristics
人才政策：talent policy
多元化发展：Pluralistic Development
历史问题：historical issues
基层组织：grass-roots organization
故居：Former residence
机会均等：Equal Opportunities
主要活动：main activity
核威慑：nuclear deterrence
课程特点：course characteristics
图像结构：image structure
文庙：Confucian Temple
亚洲开发银行：Asian Development Bank
奴化教育：enslavement education
历史分期：historical stages
自由精神：freedom spirit
设立：set up
社会动因：social motivation
文化视野：cultural horizon
王羲之：WANG Xi-zhi
崔国因：Cui Guoyin
历史精神：historical spirit
禁书：banned books
铁路政策：railway policy
唐鉴：Tang Jian
遗址公园：ruins park
佛教造像：Buddhism statue
华山：Huashan Mountain
价值类型：value types
和平统一：peace and unification
世界史：the world history
抗震救灾：earthquake disaster relief
天一阁：Tianyi Pavilion
司法实践：judical practice
美国政府：US government
传播机制：Spreading mechanism
奎屯河：kuitun river
脉动测试：pulsation measurement
罗浮山：Luofu Mountain
白话诗：vernacular poetry
育肥羊：Fattening sheep
近代农业：Modern agriculture
生活保障：living security
平谷区：Pinggu District
广南县：Guangnan county
柳亚子：LIU Ya-zi
西晋：West Jin Dynasty
研究利用：Research and utilization
魏晋南北朝：Wei-Jin and the Northern and Southern Dynasties
中古英国：medieval england
美国西部：American West
陆龟蒙：Lu Guimeng
女性教育：women education
黟县：Yixian county
学科地位：discipline status
知识精英：intellectual elite
现代化教育：modern education
政策思想：Policy thought
两宋时期：the Song Dynasty
学术影响：academic influence
中国形象：China's image
俗文学：folk literature
王云五：Wang Yunwu
佚文：lost works
陆费逵：Lu Feikui
外交决策：foreign policy
写意性：freehand brushwork
阅读素养：Reading literacy
舆论环境：public opinion environment
全宋词：QUAN SONG CI
女性地位：female position
课程安排：course arrangement
黄遵宪：Huang Zhunxian
历史学习：history learning
二战：World War Two
英美：Britain and America
公民道德：citizen morality
大公报：Da Gong Bao
书院文化：academy culture
洋务：foreign affairs
实验物理：experimental physics
隐逸文化：Hermit culture
执政资源：governing resources
放弃：Give up
音阶：Musical scale
朱有燉：Zhu Youdun
《经典释文》：Jingdian Shiwen
日本侵略：Japanese invasion
李根源：Li Genyuan
吴虞：Wu Yu
曹寅：Cao Yin
黄远生：Huang Yuansheng
潮汕文化：chaoshan culture
人类起源：Human origin
《刘子》：Liu Zi
张穆：ZHANG Mu
科学史学：historiography of science
工具合理性：instrumental rationality
乡规民约：Village rules
粮食供应：Grain supply
法律渊源：law origin
数学发展：development of mathematics
秦人：Qin people
城市流强度：urban flows intensity
伦理控制：ethical control
吴文俊：WU Wen-jun
旅游节庆：tourist festivals
长白山天池：Changbaishan Tianchi
文史：literature and history
动因分析：motivation analysis
全新世大暖期：Holocene Megathermal
区域趋同：regional convergence
政策绩效：policy performance
塔尔寺：Taer Temple
清朝前期：early Qing dynasty
凉山彝族：Yi people in Liangshan
自然增长：Natural growth
主题分类：subject classification
第四纪地质学：Quaternary geology
美国联邦政府：American Federal Government
狩猎文化：hunting culture
文化职能：cultural function
富兰克林·罗斯福：Franklin Roosevelt
桂馥：Gui Fu
汉末：Late Han Dynasty
龙云：Long Yun
杨靖宇：Yang Jingyu
辜鸿铭：GU Hong-ming
东夷文化：Dongyi culture
中央与地方：Central and Local Governments
精兵简政：Better Troops and Simpler Administration
样板戏：Model Opera
丁汝昌：Ding Ruchang
宗教功能：Religious Function
乾隆皇帝：Emperor Qianlong
非连续性教育：Non-continuous Education
崔浩：Cui Hao
正式组织：formal organization
苏联社会主义：Soviet socialism
诺贝尔文学奖：Nobel Prize in Literature
中间党派：the middle parties
太武帝：Taiwu Emperor
城堡：the castle
酒店经营：hotel management
近世：modern times
义和团运动：the Boxer Rebellion
颜李学派：Yan-Li school
清末民初：the end of Qing dynasty and the beginning of the republic of China
国民党政府：KMT government
蒋光慈：Jiang Guang-ci
传统外交：Traditional diplomacy
保密工作：security work
邓显鹤：Deng Xianhe
重庆谈判：Chongqing Negotiation
意识形态工作：ideological work
金世宗：Jin Shizong
新阶层：new stratum
领导素质：leadership quality
德育思想：thought of moral education
学术成果：academic achievements
南昌起义：Nanchang Uprising
权德舆：Quan Deyu
宋子文：Song Ziwen
妇女史：women history
克孜尔石窟：Kizil Grottoes
民族迁徙：ethnic migration
社会主义价值观：socialist values
洪仁玕：HONG Ren-gan
《颜氏家训》：Yan Family Instructions
对日政策：policy toward Japan
美国中东政策：U.S. Middle East Policy
余英时：YU Ying-shi
实践认识论：practical epistemology
赵匡胤：Zhao Kuangyin
国家统一：national unification
桃文化：peach culture
史学方法论：historical methodology
黄老：Huang Lao
贞节观念：chastity idea
巴山舞：Bashan dance
蜀文化：Shu culture
中世纪英国：medieval England
民变：mass uprising
唐王朝：Tang Dynasty
朝鲜战争：the Korea War
五帝：five emperors
历史思想：historical thought
宗教神学：religious theology
妇女地位：status of women
冼夫人：Madam Xian
启蒙理性：enlightenment reason
道德史观：historical view on ethic
港台：Hongkong and Taiwan
湘军：Hunan Army
中国知识分子：Chinese intellectual
黄鹤楼：Yellow Crane Tower
党政关系：party-government relationship
历史理论：historical theory
庐山会议：Lushan Meeting
革命斗争：revolutionary struggle
托勒密埃及：Ptolemaic Egypt
戴名世：Dai Mingshi
苻坚：Fu Jian
戚继光：Qi Jiguang
外交理念：diplomatic idea
二宫尊德：Ninomiya Sontoku
课程功能：course function
救亡：national salvation
自由党：Liberal party
慈善机构：charitable organization
异读：Variant pronunciation
历史课程：history course
通过仪式：rites of passage
运河文化：canal culture
秋收起义：Autumn Harvest Uprising
考古发现：archaeological discovery
古田会议：Gutian Conference
丘处机：Qiu Chuji
都市生活：urban life
孔臧：Kong Zang
地方利益：Local Interests
青海蒙古族：the Mongolians in Qinghai
世界近代史：modern world history
官吏：Government officials
中国传统音乐：Traditional Chinese music
祭祀仪式：sacrificial ceremony
领土扩张：territorial expansion
翰林院：Imperial Academy
民主党：Democratic Party
方孝孺：Fang Xiaoru
资本全球化：capital globalization
双重使命：dual mission
《吴越春秋》：Wu Yue Chun Qiu
雅尔塔体制：Yalta system
精英阶层：elite class
慕容鲜卑：Murong Xianbei
新军：the New Army
西德：West Germany
和平外交：peaceful diplomacy
都城：capital city
轴心时代：Axial Age
金毓黻：Jin Yufu
政治空间：political space
刘锡鸿：Liu Xihong
北洋时期：Beiyang Period
丘濬：Qiu Jun
洪宪帝制：HongXian monarchy
语言转用：language shift
美日同盟：U.S.-Japan alliance
约翰逊政府：The Johnson Administration
人文理性：human rationality
整风运动：Rectification Campaign
宋史研究：studies on the history of Song dynasty
伏羲文化：fuxi culture
刘逢禄：Liu Fenglu
美国犹太人：American Jews
民族冲突：national conflict
金融统制：financial control
世界意识：world consciousness
死刑制度：death penalty system
辽：Liao Dynasty
学科构建：discipline construction
遏制战略：containment strategy
顾准：Gu Zhun
柏林危机：Berlin Crisis
曾国荃：Zeng Guoquan
古代朝鲜：ancient Korea
国家结构：state structure
军事经济：military economy
商人阶层：merchant class
蒙文通：Meng Wentong
权力博弈：power game
西方传统哲学：western traditional philosophy
设计史：design history
军法：military law
徐润：Xu Run
政治心态：political psychology
门户开放：Open Door Policy
近代外交：modern diplomacy
粮食供给：Grain supply
形式结构：formal structure
细菌战：germ warfare
秦简：Qin bamboo slips
国家与社会关系：relationship between state and society
文化成因：cultural cause
就业需求：employment demand
西施：Xi Shi
民主基础：Democratic foundation
甲骨：oracle bones
城市贫民：the urban poor
教师团队：teacher team
《晏子春秋》：Yanzi Chunqiu
陶寺文化：Taosi culture
文化调适：cultural adjustment
地方行政：local administration
联合国海洋法公约：United Nations Convention on the Law of the Sea
民俗生活：folk life
傅作义：Fu Zuoyi
一战：World War I
现代法制：modern legal system
华裔：Chinese American
古文运动：ancient prose movement
统制经济：controlled economy
宋神宗：Song Shenzong
文本研究：Text research
原始农业：primitive agriculture
权力资源：power resource
阶段性特征：stage characteristics
唐文治：Tang Wenzhi
文化贡献：cultural contribution
军权：military power
国家意识：national consciousness
多元一体：pluralistic integration
审美机制：aesthetic mechanism
历史维度：Historical dimension
民国史：history of the Republic of China
政教分离：Separation of Church and State
滇国：Dian Kingdom
裴松之：Pei Songzhi
羊祜：Yang Hu
唐英：TANG Ying
传承方式：inheritance way
山水散文：landscape prose
胡乔木：Hu Qiaomu
学术转型：Academic transformation
文徵明：Wen Zhengming
学术伦理：academic ethics
地方财政收入：local financial revenue
县长：County Magistrate
道德秩序：moral order
旅游审美：tourism aesthetic
华侨教育：overseas Chinese education
国史研究：national history research
国统区：KMT-ruled area
威廉·詹姆斯：William James
晏婴：Yan Ying
余靖：Yu jing
西方民主：western democracy
传统政治：traditional politics
李烈钧：Li Liejun
中国文化传统：Chinese cultural tradition
《清明上河图》：On the Riverside Scene of Pure Brightness
岑春煊：Cen Chunxuan
何炳松：He Bingsong
颜氏家训：Family Instructions of Yan Clan
归化城：Guihua city
历史客观性：historical objectivity
现代服装设计：Modern fashion design
乌尔第三王朝：Ur III dynasty
约翰·亚当斯：John Adams
美国印第安人：American Indians
马克思主义大众化：Popularization of Marxism
神话历史：myth history
印花：calico printing
陶瓷产品：Ceramics product
杏花：Apricot flower
门窗：Windows and Doors
数字化管理：digitization management
关中：Guanzhong region
京杭大运河：The Beijing-Hangzhou Grand Canal
铸造涂料：Foundry coating
赤水河：Chishui River
动物骨骼：animal bone
新认识：new recognition
政治格局：Political Pattern
生态变化：Ecological changes
湘西南：southwest Hunan
河湟地区：Hehuang areas
研究概况：study survey
四川藏区：Sichuan tibetan region
形成时间：formation time
空间扩展：spatial extension
失水率：water loss
彩棉：color cotton
装饰图案：decorative patterns
鉴定特征：identification characteristic
经济行为：Economic behaviour
审美取向：aesthetic standard
石刻：stone sculpture
真假：true and false
变化特点：change characteristic
《周易》：I Ching
青金石：lapis lazuli
中央与地方关系：Central-local Relations
快速发展：fast development
形成因素：formative factors
人与自然和谐：harmony between human and nature
中国城市：cities in China
大一统：great unity
前瞻：look ahead
模式语言：pattern languages
浙西：western Zhejiang
乐山大佛：Leshan Grand Buddha
礼记：Li Ji
生产消费：production and consumption
敦煌莫高窟：Dunhuang Mogao Grottoes
鄂伦春族：Olunchun nationality
基本构成：basic constitution
马可波罗：Marco Polo
多学科：multi subject
社会风尚：social tendency
传统审美：traditional aesthetics
结构要素：structural element
伦理观念：ethics idea
衰亡：Decline and fall
经济地位：economic position
历史功绩：historical achievements
象征性：symbolic meaning
蜂窝状结构：Honeycomb structure
环境冲突：environmental conflict
若干问题：several problems
经济原因：economic cause
傅兰雅：John Fryer
国家职能：state function
战略问题：strategic problem
东周：Eastern Zhou
热释光测定年代：TL dating
江淮地区：Jianghuai area
文科专业：liberal arts
社会调控：social adjustment and control
畜牧生产：livestock production
广西地区：Guangxi region
精神遗产：spiritual heritage
化学保护：chemical protection
台湾学生：Taiwan students
