神经网络：neural network
双水相萃取：Aqueous two-phase extraction
半干旱区：Semi-arid area
总DNA：total DNA
脉冲功率：pulsed power
地形分析：terrain analysis
垃圾填埋场：Landfill site
罗布泊：Lop Nur
膜-生物反应器：membrane bioreactor
功能基因：functional gene
遥感监测：remote sensing
乙酸甲酯：methyl acetate
外生菌根真菌：ectomycorrhizal fungi
重金属元素：heavy metal elements
SOM神经网络：SOM neural network
去除效率：removal efficiency
分析检测：analysis and determination
ZigBee协议：ZigBee protocol
味精废水：monosodium glutamate wastewater
地下水环境：groundwater environment
动态膜：dynamic membrane
盐岩：salt rock
化学元素：chemical elements
液相氧化：liquid-phase oxidation
产朊假丝酵母：Candida utilis
移动电话：Mobile phone
中日：China and Japan
蛋白含量：Protein content
木霉：Trichoderma spp
外部成本：External cost
自然权利：natural rights
微波炉：microwave oven
国际标准：international standards
长江河口：Changjiang estuary
光学厚度：optical depth
时态GIS：temporal GIS
生理变化：physiological changes
岩石爆破：rock blasting
碳通量：carbon flux
社会动员：Social mobilization
隐性知识：implicit knowledge
溪洛渡水电站：Xiluodu Hydropower Station
期望效用：expected utility
物流规划：Logistics Planning
增强因子：enhancement factor
地质样品：Geological samples
电化学反应：electrochemical reaction
污染物排放：pollutant emission
交流阻抗：electrochemical impedance spectroscopy
工程实例：engineering example
环境评价：Environment assessment
磷释放：Phosphorus release
调节阀：regulating valve
纳豆芽孢杆菌：Bacillus natto
水利工程：hydraulic project
催化剂制备：catalyst preparation
黑藻：Hydrilla verticillata
治理措施：treatment measure
气相色谱仪：gas chromatography
尼罗罗非鱼：Oreochromis niloticus
复杂地形：complex terrain
气体扩散电极：gas diffusion electrode
非正式制度：informal system
Visual Basic6.0：Visual Basic 6.0
能力验证：proficiency testing
效率分析：efficiency analysis
静电自组装：electrostatic self-assembly
结构优化设计：structural optimization design
火灾风险：Fire risk
化工行业：Chemical industry
反应过程：reaction process
膨胀珍珠岩：expanded perlite
流场模拟：flow field simulation
工程施工：project construction
合成革：synthetic leather
农村环境：rural environment
高硬度：high hardness
酸性红B：acid red B
古建筑：ancient building
MCGS组态软件：MCGS configuration software
人为因素：human factors
自然恢复：Natural restoration
贫铀：depleted uranium
保护与利用：protection and utilization
丁坝：spur dike
辐射传输：radiative transfer
多相分类：Polyphasic taxonomy
价值定位：value orientation
同源建模：homology modeling
教学团队：teaching team
治理理论：governance theory
中华文明：Chinese civilization
海洋产业：marine industry
生态修复：ecological remediation
梯级水库：cascade reservoirs
氢氧化钾：potassium hydroxide
环境承载力：environmental carrying capacity
天然气管道：gas pipeline
海底管线：submarine pipeline
城市固体废弃物：municipal solid waste
管式反应器：tubular reactor
燃烧性能：combustion property
吸附行为：adsorption behavior
层层自组装：layer-by-layer self-assembly
有机氮：organic nitrogen
聚环氧琥珀酸：polyepoxysuccinic acid
公路建设项目：highway construction project
水泥回转窑：cement rotary kiln
多元统计：multivariate statistics
苦味酸：picric acid
助滤剂：filter aid
二甲基二烯丙基氯化铵：dimethyldiallylammonium chloride
白骨壤：Avicennia marina
癸二酸：sebacic acid
环境经济学：environmental economics
优缺点：advantages and disadvantages
景观异质性：landscape heterogeneity
临界条件：critical condition
孔隙水：pore water
水源涵养林：water conservation forest
分析评价：analysis and evaluation
塔吊：tower crane
黑斑蛙：rana nigromaculata
生产规模：production scale
社会调查：social investigation
诊断模型：diagnosis model
二次风：secondary air
柘林湾：Zhelin Bay
甲烷排放：methane emission
亚急性毒性：subacute toxicity
新城：new town
利益协调：interest coordination
解空间：solution space
超临界CO_2：supercritical carbon dioxide
内分泌干扰物：Endocrine disrupting chemicals
土壤盐分：soil salt
制备条件：preparation condition
评价模型：appraisal model
历史地理学：Historical Geography
吸附等温线：adsorption isotherms
锰过氧化物酶：manganese peroxidase
水华：algal bloom
无机陶瓷膜：inorganic ceramic membrane
喷动床：spouted bed
量子产率：quantum yield
化学混凝：chemical coagulation
GC/MS分析：GC/MS analysis
火山灰活性：pozzolanic activity
岩溶地下水：karst groundwater
入侵植物：invasive plant
烟气脱硝：flue gas denitrification
判别函数：discriminant function
碳氮比：C/N ratio
超重力：High Gravity
啤酒废水：beer wastewater
厌氧生物处理：Anaerobic biological treatment
芳香胺：aromatic amine
野生植物：wild plants
泉州湾：Quanzhou Bay
煤泥水：slime water
化工废水：chemical wastewater
分子质量：molecular weight
湿式氧化：wet oxidation
洪灾：Flood disaster
抽样方法：Sampling method
环境条件：environment condition
磷酸三丁酯：tributyl phosphate
非洲爪蟾：Xenopus laevis
河岸带：riparian zone
强电离放电：strong ionization discharge
建筑防火：building fire protection
Matlab程序：matlab program
生理反应：physiological response
环境会计：environment accounting
容器苗：container seedling
流动电流：streaming current
寡核苷酸探针：Oligonucleotide probe
喷雾特性：spray characteristics
风险转移：risk transfer
社会主义现代化：socialist modernization
晶格氧：Lattice oxygen
危险品：dangerous goods
化学组分：chemical composition
排放清单：emission inventory
街道峡谷：street canyon
空气冷却器：air cooler
邯郸市：Handan city
邻苯二甲酸二甲酯：dimethyl phthalate
燃煤：coal combustion
非线性回归：non-linear regression
采煤工作面：coal face
土壤环境质量：soil environmental quality
综合指数：comprehensive index
不确定度评定：evaluation of uncertainty
火灾报警系统：fire alarm system
精细化学品：fine chemicals
盐酸左氧氟沙星：Levofloxacin hydrochloride
赋存状态：occurrence state
WTO：World Trade Organization
环境负荷：environmental load
海绵钛：titanium sponge
填埋气：landfill gas
水足迹：water footprint
可持续开发：Sustainable development
模式匹配：mode matching
轻轨：light rail
回归分析法：regression analysis
代谢途径：metabolic pathway
DCS：distributed control system
土壤风蚀：Soil wind erosion
负效应：negative effects
除藻：algae removal
芥菜型油菜：Brassica juncea
胶东半岛：Jiaodong peninsula
生产要素：Production factor
净初级生产力：Net primary productivity
保护与发展：Protection and development
模型预测：model prediction
农业现代化：modernization of agriculture
南方鲇：silurus meridionalis
软件模拟：software simulation
城市蔓延：Urban sprawl
大气折射：atmospheric refraction
气孔器：stomatal apparatus
土地集约利用：intensive land use
垂向分布：vertical distribution
油污染：oil pollution
炉温：furnace temperature
次甲基蓝：methylene blue
高温稳定性：high-temperature stability
技术开发：technology development
介稳区：metastable zone
加速遗传算法：accelerating genetic algorithm
动态特征：dynamic characteristics
农村生活污水：rural domestic sewage
煅烧温度：calcination temperature
三维电极：Three-dimensional Electrode
土地处理：land treatment
化学吸收：chemical absorption
TiO_2薄膜：TiO_2 film
铁矿：Iron mine
城市湿地：urban wetland
环境绩效：environmental performance
单总线：1-Wire bus
Box-Behnken设计：Box-behnken design
基因簇：gene cluster
岷江上游：upper reaches of Minjiang River
有机胺：organic amine
倏逝波：evanescent wave
方案比选：scheme comparison
水稻土：paddy soils
除浊：turbidity removal
改革与实践：Reform and practice
电池性能：cell performance
氯化银：silver chloride
主分量分析：Principal Component Analysis(PCA)
火灾探测器：fire detector
远程管理：Remote management
辐射强迫：radiative forcing
典范对应分析：Canonical correspondence analysis
环境价值：environmental value
黑匣子：black box
入侵种：invasive species
热量平衡：heat balance
排放特性：emission characteristic
通讯网络：communication network
动态试验：dynamic test
土壤溶液：soil solution
亮度温度：Brightness temperature
DNA指纹图谱：DNA fingerprint
SARS：severe acute respiratory syndrome
交通拥堵：traffic jam
经济发展水平：Economic development level
茶园土壤：tea garden soil
浸渍法：impregnation method
质量平衡：mass balance
电动修复：electrokinetic remediation
治理技术：Treatment Technology
氧化还原电位：Redox potential
纳米二氧化钛：nanometer titanium dioxide
中试：pilot test
计算流体力学(CFD)：Computational fluid dynamics(CFD)
滤料：filter material
氧化亚铁硫杆菌：Acidithiobacillus ferrooxidans
化工设备：chemical equipment
羰基化合物：carbonyl compound
工程计算：engineering calculation
采煤：coal mining
复合电镀：composite electroplating
复合酶：compound enzyme
物理特性：physical property
资源优势：resource advantage
农业灌溉：agricultural irrigation
正交分析：orthogonal analysis
顺序注射：sequential injection
生态敏感性：ecological sensitivity
生态管理：ecological management
统计特征：Statistical characteristics
自控：automatic control
除尘器：dust collector
生态学马克思主义：ecological Marxism
贸易与环境：trade and environment
漓江：Lijiang river
水土资源：water and soil resources
狗牙根：Cynodon dactylon
谐波污染：harmonic pollution
桔皮：Orange peel
德州市：Dezhou City
联系度：connection degree
冶金工业：metallurgical industry
火焰传播：flame propagation
分解速率：decomposition rate
大青叶：Folium Isatidis
沼气发酵：biogas fermentation
荷兰：the Netherlands
关键绩效指标：Key performance indicators
长城：the Great Wall
吉林市：Jilin City
区域农业：Regional agriculture
GO法：GO methodology
湖泊沉积物：Lake sediments
嗜酸氧化亚铁硫杆菌：Acidithiobacillus ferrooxidans
海上油田：offshore oilfield
大气颗粒物：atmospheric particles
水泥生产：cement production
火焰原子吸收：flame atomic absorption
降解菌：degrading bacteria
海河：Haihe River
冀东油田：Jidong Oilfield
石化废水：petrochemical wastewater
安全培训：safety training
费用效益分析：cost-benefit analysis
同时硝化反硝化：simultaneous nitrification and denitrification
火灾危险性：fire risk
生态需水量：ecological water requirement
XRD分析：XRD analysis
选择催化还原：selective catalytic reduction
石漠化：rock desertification
腐蚀率：corrosion rate
复合生态系统：complex ecosystem
过热蒸汽：superheated steam
水力空化：hydrodynamic cavitation
综合处理：comprehensive treatment
有害气体：harmful gas
缓蚀阻垢剂：corrosion and scale inhibitor
绿色能源：Green energy
微污染原水：micro-polluted raw water
洪湖：Honghu Lake
灾害管理：disaster management
泄漏率：leakage rate
平顶山市：Pingdingshan city
流动相：mobile phase
可燃气体：combustible gas
餐饮废水：restaurant wastewater
Dawson结构：Dawson structure
根分泌物：root exudates
阳极材料：anode material
阻力特性：resistance characteristics
直接测定：Direct determination
噪声源识别：Noise source identification
黄壤：yellow soil
牧区：pastoral area
现代生物技术：modern biotechnology
建设规模：construction scale
微生物量碳：microbial biomass carbon
马尔柯夫模型：Markov model
功能定位：functional orientation
大气化学：Atmospheric chemistry
社会文明：social civilization
能源危机：energy crisis
新人文主义：New Humanism
肺炎克雷伯氏菌：Klebsiella pneumoniae
绿色教育：green education
高氯酸：perchloric acid
处理效果：treatment effect
社会工程：social engineering
室内实验：laboratory experiment
无机阴离子：inorganic anions
微核率：micronucleus frequency
物理改性：physical modification
精细化工：fine chemicals
光度分析：photometric analysis
事件树：event tree
再生资源：renewable resources
安全度：safety degree
原水：raw water
丝状菌：filamentous bacteria
应急处理：emergency treatment
酸碱滴定：Acid-base titration
东平湖：Dongping Lake
废弃混凝土：waste concrete
毕节地区：Bijie prefecture
电加热：electric heating
联合作用：combined effect
内循环：internal circulation
工艺管理：process management
翡翠贻贝：Perna viridis
三元相图：ternary phase diagram
亚细胞分布：subcellular distribution
光谱测量：Spectral Measurement
道路运输：Road transport
土地利用格局：land use pattern
树木年轮：tree ring
季节性变化：seasonal variation
分类管理：classified management
深层生态学：deep ecology
地下采矿：underground mining
生态模型：ecological model
库区：reservoir area
社会效应：social effect
AMC：AMC(Adaptive Modulation and Coding)
放射性废物：radioactive waste
天水市：Tianshui City
行业发展：industry development
产业生态学：industrial ecology
水稻种子：rice seed
距离测度：distance measure
选址问题：location problem
输出电压：output voltage
催化热解：catalytic pyrolysis
创新文化：innovative culture
人类：human being
吐温80：Tween 80
大气污染物：air pollutant
空气污染物：Air pollutants
控制对策：Control countermeasure
低渗透油田：low permeability oilfield
在线监控：on-line monitoring
河流生态系统：river ecosystem
灰色系统：grey systems
技术经济分析：techno-economic analysis
冷冻浓缩：freeze concentration
粉尘污染：dust pollution
高浓度有机废水：high concentration organic wastewater
电气火灾：electric fire
甲烷氧化：methane oxidation
生长条件：growth condition
化学实验室：chemical laboratory
脉冲电场：pulsed electric field
危险废物：Hazardous wastes
三氯乙酸：trichloroacetic acid
分离因子：separation factor
水泥窑：cement kiln
监测体系：monitoring system
方波伏安法：Square wave voltammetry
对羟基苯甲酸：p-hydroxybenzoic acid
园林植物：ornamental plants
煤粉：coal powder
孔石莼：Ulva pertusa
临界浓度：Critical concentration
高稳定性：high stability
贡嘎山：Gongga mountain
逐步判别分析：stepwise discriminant analysis
ZSM-5沸石：ZSM-5 zeolite
模拟技术：simulation technology
模糊预测：fuzzy prediction
社会危机：social crisis
行驶工况：Driving cycle
细胞活性：cell viability
小麦秸秆：wheat straw
Raman散射：Raman scattering
理论与方法：theory and method
瓦氏黄颡鱼：pelteobagrus vachelli
测控：Measure and Control
类比推理：analogical reasoning
二级市场：secondary market
雪灾：snow disaster
大气透过率：atmospheric transmittance
开放的复杂巨系统：open complex giant system
碳氮代谢：carbon and nitrogen metabolism
动态法：dynamic method
复合氧化物：mixed oxide
反渗透：reverse osmosis(RO)
静态：static state
法律原则：legal principle
过程强化：process intensification
湿法：wet process
自然光：Natural light
短程硝化：short-cut nitrification
漂白废水：bleaching effluent
干燥温度：drying temperature
碳汇：carbon sequestration
野生动物：wild animals
总硬度：total hardness
溶剂回收：solvent recovery
湿沉降：wet deposition
二氧化硫脲：thiourea dioxide
硫酸钙：calcium sulphate
铁路噪声：railway noise
网格法：grid method
系统发育：phylogenetic analysis
额济纳绿洲：Ejina Oasis
安全科学：safety science
阳离子絮凝剂：Cationic flocculant
微污染水：micro-polluted water
填埋气体：Landfill gas
硫酸厂：sulphuric acid plant
偏相关分析：partial correlation analysis
信阳市：Xinyang city
衡阳市：Hengyang city
三氯异氰尿酸：trichloroisocyanuric acid
生态问题：ecological problems
多元校正：multivariate calibration
SAS软件：SAS software
田间试验：field trial
间隙水：interstitial water
粉尘浓度：dust concentration
控制参数：Control parameters
在线监测系统：on-line monitoring system
运行费用：operation cost
技能培训：Skill Training
水动力：hydrodynamic force
地面水：surface water
海洋微生物：marine microorganisms
属性识别：Attribute recognition
管道工程：pipeline engineering
生态社会主义：ecological socialism
筛选模型：Screening model
水分析：Water analysis
模拟方法：simulation method
吴茱萸：Evodia rutaecarpa
水动力学模型：hydrodynamic model
辐射强度：radiation intensity
国际协调：international harmonization
绵阳市：mianyang city
系统耦合：system coupling
可持续：sustainable development
绿色贸易：Green Trade
反应扩散方程：reaction diffusion equation
晋城市：Jincheng City
干扰效应：interference effect
重点实验室：Key laboratory
风险认知：Risk Perception
次生盐渍化：secondary salinization
中心复合设计：Central composite design
紧致格式：compact scheme
技术理性：technical rationality
白浆土：Albic soil
信息生态：information ecology
司法保护：judicial protection
热脱附：thermal desorption
集装箱港口：Container Port
生物法：biological method
土壤重金属：Soil heavy metals
还原脱氯：reductive dechlorination
GIS：geographic information system(GIS)
荧光猝灭法：Fluorescence quenching method
硫酸铵：ammonium sulphate
悬浮填料：suspended carrier
污染事故：pollution accident
铀矿山：uranium mine
响应曲面：response surface methodology
超声辐照：ultrasonic irradiation
水生动物：aquatic animal
炼油废水：refinery wastewater
畜禽：Livestock and poultry
应急指挥：emergency command
超声降解：ultrasonic degradation
乳化液膜：emulsion liquid membrane
Winsock控件：Winsock control
条件优化：condition optimization
洛阳市：Luoyang City
紫外-可见光谱：UV-Vis spectrum
阻力损失：resistance loss
医院污水：Hospital sewage
毛乌素沙地：Maowusu sandland
液氨：liquid ammonia
技术方法：technical method
慢性毒性：chronic toxicity
环境适应性：environmental worthiness
海洋生物：marine biology
生化需氧量：biochemical oxygen demand
费-托合成：Fischer-Tropsch synthesis
短程硝化反硝化：shortcut nitrification-denitrification
大型溞：Daphnia magna
开发区：development area
规范管理：Standard management
微生物生态：microbial ecology
松针：pine needle
动态系统：dynamic systems
马克思恩格斯：Marx and Engels
DNDC模型：DNDC model
自然资本：natural capital
全球变化：global changes
控制标准：control standard
自组织神经网络：self-organizing neural network
工作装置：working equipment
TM数据：TM data
选择性吸附：selective adsorption
土壤微生物生物量：Soil microbial biomass
多花黑麦草：Lolium multiflorum
厦门湾：Xiamen Bay
社会机制：social mechanism
糙皮侧耳：Pleurotus ostreatus
路径选择：route selection
水平分布：horizontal distribution
分段函数：piecewise function
市场调节：Market regulation
系统平台：System platform
港口工程：port engineering
发电企业：power plant
复杂性理论：complexity theory
地震保险：earthquake insurance
电催化还原：Electrocatalytic reduction
化学除磷：chemical phosphorus removal
废水处理：treatment of waste water
再生回用：reclamation and reuse
饱和烃：saturated hydrocarbon
饮用水源：Drinking water source
生物脱氮除磷：biological nitrogen and phosphorus removal
超声萃取：Ultrasonic extraction
采矿权：Mining right
氙灯：xenon lamp
磷回收：phosphorus recovery
辐射聚合：radiation polymerization
稳态误差：Steady-state error
正交实验设计：orthogonal experimental design
氧化铁红：Iron oxide red
氯碱工业：Chlor-alkali Industry
热爆炸：Thermal explosion
序批式反应器：sequencing batch reactor
技术经济：technology and economy
注水系统：water injection system
数量分布：quantitative distribution
曙红Y：Eosin Y
原子经济性：atom economy
水文模型：hydrologic model
评价模式：evaluation model
三氧化硫：sulfur trioxide
木榄：Bruguiera gymnorrhiza
图腾崇拜：totem worship
水质参数：water quality parameter
泥螺：Bullacta exarata
土地利用/覆盖：land use/cover
保留时间：retention time
艾比湖：Ebinur Lake
时间变化：temporal variation
风景区：scenic spot
无瓣海桑：Sonneratia apetala
生态移民：ecological migration
排队网络：queuing network
杨凌示范区：Yangling demonstration zone
细胞色素c氧化酶：cytochrome c oxidase
学科发展：discipline development
精子运动：sperm motility
电力建设：electric power construction
海洋生物学：marine biology
连分式：continued fraction
模式选择：mode choice
种群分布：Population distribution
大气传输：atmospheric transmission
河道：river course
比叶面积：specific leaf area
絮凝机理：flocculation mechanism
景观水：Landscape water
含氧量：oxygen content
水质管理：water quality management
保护区：Nature reserve
转炉渣：converter slag
安全意识：Safety consciousness
三相流化床：three-phase fluidized bed
布袋除尘器：bag filter
铬渣：chromium slag
密度泛函理论(DFT)：density functional theory(DFT)
病原微生物：pathogenic microorganism
生态功能：Ecological functions
医疗垃圾：medical waste
厌氧污泥：anaerobic sludge
制革污泥：tannery sludge
农业文明：agricultural civilization
活性白土：activated clay
移动床生物膜反应器：moving bed biofilm reactor
沉积物-水界面：sediment-water interface
共和盆地：Gonghe basin
季节变化：seasonal variations
光催化还原：Photocatalytic reduction
衡水湖：Hengshui Lake
化学耗氧量：chemical oxygen demand
真空紫外：vacuum ultraviolet
二氧化铈：cerium dioxide
技术体系：technological system
壳聚糖膜：chitosan membrane
外来种：alien species
抗盐：salt resistance
点源：point source
海上钻井：offshore drilling
普通小球藻：Chlorella vulgaris
高分子合金：polymer alloy
哲学反思：philosophical reflection
热电联产：combined heat and power
钛酸铋：bismuth titanate
臭氧层：ozone layer
人口承载力：population carrying capacity
防护服：protective clothing
化学试剂：chemical reagent
巨灾风险：catastrophe risk
大雾：heavy fog
资源约束：Resource Constraint
大伙房水库：Dahuofang reservoir
资源与环境：Resources and environment
稳健统计：robust statistics
生态基础设施：ecological infrastructure
环境审计：environmental audit
绿色空间：green space
SD模型：SD model
钾离子：potassium ion
价格调整：price adjustment
量化研究：quantitative research
深海：deep sea
生化分析：Biochemical analysis
NMDA受体：NMDA receptors
健康评价：health evaluation
工频磁场：Power Frequency Magnetic Field
蒙特卡罗仿真：Monte-Carlo simulation
AHP模型：AHP model
教育科研：educational research
财政转移支付：financial transfer payment
产量品质：Yield and quality
经济自由：economic freedom
催化臭氧氧化：catalytic ozonation
高矿化度：high salinity
铀矿：Uranium deposit
传质性能：mass transfer performance
去除机理：removal mechanism
碳排放：carbon emission
膜组件：membrane module
生态和谐：ecological harmony
生物反应器填埋场：bioreactor landfill
环境哲学：environmental philosophy
景观水体：landscape water
农田土壤：agricultural soil
交换容量：exchange capacity
物质代谢：material metabolism
气相色谱-质谱法：Gas chromatography-mass spectrometry(GC-MS)
垃圾焚烧飞灰：MSWI fly ash
胶凝材料：cementing material
IC反应器：IC reactor
糠醛废水：furfural wastewater
环境水力学：environmental hydraulics
糖蜜酒精废液：molasses alcohol wastewater
电极电势：Electrode potential
辐射降解：radiation degradation
皮革涂饰剂：leather finishing agent
氨浸：ammonia leaching
浮选机：Flotation machine
热解吸：thermal desorption
纵向通风：longitudinal ventilation
农业生态环境：agricultural ecological environment
技术装备：technical equipment
动态聚类：dynamic cluster
灾害链：disaster chain
嘉兴市：Jiaxing City
评估方法：evaluation methods
排放通量：emission flux
铁氧化物：iron oxides
损失率：Loss rate
污水源热泵：Sewage source heat pump
水生植被：Aquatic vegetation
象山港：Xiangshan bay
职业健康：Occupational Health
污泥堆肥：Sludge compost
最佳条件：Optimum condition
干旱河谷：dry valley
开发对策：development strategy
平均值：average value
气体扩散：gas diffusion
面板协整：panel cointegration
环境外交：environmental diplomacy
烟气净化：flue gas purification
稳定塘：stabilization pond
三维地质模型：3D geological model
资源消耗：resource consumption
临界胶团浓度：Critical micelle concentration
功能群：functional group
铅胁迫：lead stress
能源利用：energy utilization
加权平均法：weighted average method
模糊综合评价模型：fuzzy comprehensive evaluation model
环境工程地质：environmental engineering geology
旅游地：tourism destination
DNA加合物：DNA adduct
价值理性：value reason
生境破碎化：Habitat fragmentation
指挥系统：command system
经济活动：economic activities
水电建设：hydropower construction
电感耦合等离子体质谱法：inductively coupled plasma mass spectrometry
行为反应：behavioral response
调度模型：Scheduling model
原生态：Original ecology
施工通风：construction ventilation
分析框架：analysis framework
环境责任：environmental responsibility
区域气候：Regional climate
社会现代化：social modernization
基本公共服务：basic public service
异养硝化：heterotrophic nitrification
光谱特征：Spectral characteristics
人工神经网络(ANN)：Artificial Neural Network(ANN)
清洁发展机制：Clean Development Mechanism(CDM)
理化特性：physical and Chemical Characteristics
黄土丘陵区：loess hilly-gully region
水生生态系统：aquatic ecosystem
苯酚废水：phenol wastewater
铜基催化剂：copper-based catalyst
微波提取：microwave-assisted extraction
太原盆地：Taiyuan Basin
吸收谱：absorption spectra
操作优化：operation optimization
生态影响：ecological impact
亚硫酸氢钠：Sodium bisulfite
化学降解：Chemical degradation
渗流模型：percolation model
正交优化：orthogonal optimization
生态环境质量：eco-environmental quality
土地沙化：land desertification
社会经济发展：social and economic development
垃圾处理：waste treatment
有机负荷：organic loading
关键问题：key problem
冰晶：ice crystal
原油乳状液：crude oil emulsion
大型：large scale
人因失误：human error
特征线法：characteristics method
红树林湿地：mangrove wetland
香蕉皮：banana peel
城市河道：urban river
经济规模：economic scale
配位反应：Coordination reaction
水文地质条件：hydrogeological conditions
尾气处理：tail gas treatment
中原油田：Zhongyuan oil field
土壤化学性质：soil chemical properties
组成分析：Composition analysis
流型识别：flow regime identification
社区共管：Community Co-Management
酸性矿山废水：acid mine drainage
连云港市：Lianyungang city
结构特性：structural characteristics
大鳞副泥鳅：Paramisgurnus dabryanus
固体废弃物：solid wastes
钙含量：calcium content
活性氧化锌：active zinc oxide
趋磁细菌：magnetotactic bacteria
三明市：Sanming City
衡水市：Hengshui City
净第一性生产力：net primary productivity
电感耦合等离子体：Inductively coupled plasma
辅助决策：assistant decision
城市灾害：urban disaster
栽植密度：planting density
经济成本：economic cost
脆弱性评价：vulnerability assessment
银川平原：Yinchuan Plain
城市气候：urban climate
铁路车站：railway station
绿色建材：green building material
精子质量：sperm quality
坡地：sloping land
劳动保护：labor protection
管理职能：Management function
孤波：solitary wave
基因文库：Genomic library
卡方检验：chi-square test
形成与发展：formation and development
城市总体规划：urban master planning
海岸工程：coastal engineering
pH控制：pH control
远程数据采集：remote data acquisition
徐霞客：Xu Xiake
土壤生态系统：soil ecosystem
政治环境：political environment
发射光谱：optical emission spectroscopy
比表面：Specific Surface Area
酸洗：acid washing
自动监测系统：Automatic monitoring system
相对分子质量分布：relative molecular mass distribution
鱼鳞：fish scale
参数优选：parameter optimization
最适温度：optimum temperature
荧光标记：fluorescence labeling
状态识别：State Recognition
硅藻土：diatomaceous earth
建筑安全：construction safety
超声辐射：ultrasonic irradiation
嗜热菌：thermophilic bacteria
活性组分：active component
生态安全评价：ecological security assessment
元素硫：elemental sulfur
生态示范区：Ecological demonstration area
激光闪光光解：laser flash photolysis
共价键：covalent bond
超临界甲醇：supercritical methanol
实验室认可：laboratory accreditation
混凝机理：coagulation mechanism
产气肠杆菌：Enterobacter aerogenes
缓蚀作用：corrosion inhibition
甲氨基阿维菌素苯甲酸盐：emamectin benzoate
紫外诱变：UV mutation
膜接触器：membrane contactor
政策措施：policy measures
保护对策：protection countermeasures
荧光光谱法：Fluorescence spectrometry
吸附脱硫：Adsorption desulfurization
核糖核酸：ribonucleic acid
生物胺：biogenic amine
水污染防治：water pollution control
秦皇岛市：Qinhuangdao City
减压膜蒸馏：vacuum membrane distillation
物质流：material flow
电极过程：electrode process
超细颗粒：ultrafine particle
生态监测：ecological monitoring
厌氧水解：anaerobic hydrolysis
农药污染：pesticide pollution
OH自由基：OH radical
K值：K value
空间信息技术：spatial information technology
定量测量：quantitative measurement
绿藻：green algae
功能多样性：Functional diversity
有效措施：effective measures
梯级开发：cascade development
大连湾：Dalian Bay
分析与评价：analysis and evaluation
Bessel函数：Bessel function
膜阻力：membrane resistance
数据流程：data flow
柱浸：column leaching
东昌湖：Dongchang Lake
岷江：Minjiang River
城市开发：urban development
柴油车：diesel vehicle
球形棕囊藻：Phaeocystis globosa
进化神经网络：evolutionary neural network
VOF模型：VOF model
西藏高原：Tibet Plateau
焦作市：Jiaozuo City
红三叶：red clover
上海地区：Shanghai area
地表反照率：surface albedo
水面舰艇：surface ship
南京：Nanjing city
过程设计：process design
分子探针：molecular probe
土地利用方式：land use type
根伸长：root elongation
私权：private rights
投资机制：Investment mechanism
电子元件：electronic components
经济基础：economic basis
社会基础：social basis
东南景天：Sedum alfredii Hance
GPS导航：GPS navigation
防洪标准：flood control standard
补偿制度：compensation system
可持续设计：sustainable design
池塘养殖：pond culture
主流经济学：mainstream economics
国际环境法：international environmental law
环境微生物学：environmental microbiology
模式搜索：pattern search
脱氮除磷：denitrification and phosphorus removal
生态廊道：ecological corridor
大气探测：atmospheric sounding
磺酰脲类除草剂：sulfonylurea herbicides
安全投资：safety investment
医疗废物：medical wastes
氮污染：nitrogen pollution
农业土壤：Agricultural soil
活性焦：activated coke
聚类分析法：cluster analysis
火灾事故：fire accident
技术进展：technology progress
铜阳极泥：copper anode slime
浮选分离：floatation separation
环境空气：environmental air
多糖含量：polysaccharide content
南四湖：Nansihu lake
银纳米粒子：silver nanoparticle
离子交换法：ion exchange method
热力学平衡：thermodynamic equilibrium
天然植被：natural vegetation
海洋污染：marine pollution
改性壳聚糖：modified chitosan
水泥固化：Cement solidification
腐植酸钠：sodium humate
日变化：daily change
生态调控：ecological regulation
潜在生态风险：potential ecological risk
聚合硫酸铁：polymeric ferric sulfate
过程参数：process parameter
吖啶红：Acridine red
吸附率：adsorption rate
分布式水文模型：distributed hydrologic model
安全成本：safety cost
贝叶斯推理：Bayesian inference
大豆幼苗：soybean seedling
控制管理：control management
锰矿石：manganese ore
优化运行：optimized operation
磷矿石：phosphate rock
沸石分子筛：zeolite molecular sieve
培养方案：training scheme
监测技术：Monitoring technique
移动办公：mobile office
龙岩市：Longyan city
安全阀：relief valve
电阻率法：resistivity method
巯基乙酸：mercaptoacetic acid
柔性石墨：flexible graphite
计划行为理论：theory of planned behavior
生态区划：ecological regionalization
火灾烟气：fire smoke
水净化：Water purification
水土保持措施：soil and water conservation measures
年变化：Annual variation
深圳湾：Shenzhen Bay
天然气汽车：natural gas vehicle
监测站：monitoring station
生态思想：Ecological Thought
悬移质：suspended sediment
中国西北地区：Northwest China
专题图：Thematic map
工具理性：Instrumental reason
溶血活性：Hemolytic activity
楚科奇海：Chukchi sea
生物硅：Biogenic silica
开发与保护：Development and protection
模糊隶属函数：fuzzy membership function
实践基地：Practice base
根尖：Root tip
种植模式：cropping pattern
DCA排序：DCA ordination
监督体系：supervision system
市场比较法：market comparison approach
先验概率：prior probability
变更管理：change management
行政救济：administrative relief
射流曝气：jet aeration
原子吸收法：Atomic absorption
次级代谢产物：secondary metabolite
环境权：environment right
重大危险源：major hazards
湿地恢复：Wetland restoration
概率积分法：Probability integral method
CO2排放：CO2 emission
河流水质：river water quality
处理技术：processing technology
