有限元：finite element
刻度因子：scale factor
冲突避免：collision avoidance
跟踪门：tracking gate
强噪声：Strong noise
算法效率：algorithm efficiency
塔台模拟机：tower simulator
旋转变压器：rotary transformer
老化性能：aging property
载荷分析：loading analysis
超高强度钢：ultrahigh strength steel
交互仿真：Interactive simulation
贮存期：storage time
激光粒度仪：laser particle size analyzer
碰撞风险：collision risk
加工误差：machining errors
损伤阻抗：damage resistance
硅含量：Si content
初步设计：primary design
碎片云：debris clouds
人因可靠性：human reliability
SEM分析：SEM analysis
升华法：sublimation method
噪声测试：noise test
质量功能展开：quality function deployment(QFD)
裂纹萌生与扩展：crack initiation and propagation
DPM模型：DPM model
高速泵：high speed pump
阳离子光引发剂：cationic photoinitiator
磁场效应：Magnetic field effect
控制流程：control flow
富燃料推进剂：fuel-rich propellant
空中交通管制员：air traffic controller
连续损伤力学：continuum damage mechanics
对称结构：symmetrical structure
工程优化：engineering optimization
接触热阻：contact resistance
轻量化设计：Lightweight design
线性二次型最优控制：Linear quadratic optimal control
人的可靠性分析：human reliability analysis
嵌入式控制：Embedded Control
裂纹扩展寿命：crack growth life
操作平台：operating platform
对流换热系数：convection heat transfer coefficient
最短距离：shortest distance
链路层：link layer
高能材料：Energetic material
膜态沸腾：Film boiling
轻型飞机：Light aircraft
真实气体：real gas
侵蚀燃烧：erosive burning
拓扑变换：topological transformation
脉冲多普勒：Pulsed Doppler
阵风因子：gust factor
低空突防：low-altitude penetration
全球导航卫星系统：global navigation satellite system
预燃室：Precombustion chamber
二元决策图：binary decision diagram
视线：line of sight
大型飞机：large aircraft
陀螺稳定平台：Gyro-Stabilized Platform
半球谐振陀螺：hemispherical resonator gyro
MEMS加速度计：MEMS accelerometer
稀疏阵：sparse array
模态截断：modal truncation
飞行仿真转台：Flight simulator
轨道机动：orbital maneuver
罗差：magnetic deviation
月球软着陆：Lunar soft landing
月球探测车：Lunar rover
速率陀螺：rate gyroscope
失速裕度：stall margin
性能衰减：performance degradation
包络谱：envelope spectrum
几何纠正：geometric rectification
气动力特性：Aerodynamic characteristics
组合制导：integrated guidance
离散事件：Discrete events
气动热：aerodynamic heating
空中交通流量：air traffic flow
环形燃烧室：annular combustor
正实控制：positive real control
奇异值分解(SVD)：singular value decomposition(SVD)
反辐射无人机：anti-radiation UAV
过失速机动：post-stall maneuver
横向喷流：lateral jet
桥梁断面：bridge deck
耦合特性：coupling characteristics
支撑框架：braced frame
连续空间：continuous space
双基地声纳：bistatic sonar
微波暗室：Microwave anechoic chamber
协同模型：coordination model
电视导引头：TV seeker
冷却叶片：cooling blade
操纵面：control surface
Hill方程：Hill equation
跨声速风洞：Transonic wind tunnel
四维空间：four-dimensional space
多学科优化设计：multidisciplinary design optimization
噪声环境：noisy environment
IEEE1394：IEEE 1394
频率校准：frequency calibration
鲁棒自适应：Robust adaptive
通信链路：communication link
漂移补偿：Drift compensation
螺栓孔：Bolt hole
柔性装配：flexible assembly
无模型自适应控制：model-free adaptive control
硅片：Si wafer
蠕变性能：creep behavior
前馈补偿：feed forward compensation
聚合物基复合材料：polymer composites
含能粘合剂：energetic binder
发展计划：development plan
力平衡：force balance
终点误差：end point error
故障预测：fault forecasting
虚拟机床：virtual machine tool
附着强度：adhesive strength
多层结构：multilayered structure
参数敏感性：parametric sensitivity
无烟推进剂：smokeless propellant
2E12铝合金：2E12 aluminum alloy
双基推进剂：Double-base propellant
状态监控：status monitoring
采集系统：collection system
柔性复合材料：flexible composite
非线性最小二乘：nonlinear least square
时效性：time effectiveness
金属含量：metal content
界面粘结：Interfacial adhesion
排放模型：emission model
轻气炮：light gas gun
高频电磁场：high frequency electromagnetic field
时效成形：age forming
模态密度：modal density
飞机发动机：aircraft engine
串行通信协议：serial communication protocol
拉瓦尔喷管：Laval nozzle
总体结构：general structure
火焰高度：flame height
损伤扩展：damage propagation
实验测试：experiment test
水滴：water droplet
高空：high altitude
反应流：reacting flow
碰撞模型：impact model
脉动压力：pulsating pressure
实验观察：experimental observation
采集卡：acquisition card
高能量：high energy
等离子发生器：plasma generator
技术状态：technical condition
加速度测量：Acceleration measurement
噪声辐射：noise radiation
垂向刚度：vertical stiffness
初始位置：initial position
H_∞控制：H ∞ control
模态试验：modal testing
稳定性预测：Stability prediction
热流法：heat flux method
增长速度：growth rate
相似模型：similar model
循环矩阵：circulant matrices
功能分配：function allocation
学习向量量化：learning vector quantization
着陆冲击：landing impact
图像导航：image navigation
汉明码：Hamming codes
相频特性：phase frequency characteristic
飞行训练：flight training
推进剂贮箱：Propellant tank
变几何：variable geometry
平动点：Libration point
Roe格式：roe scheme
陀螺漂移：gyroscope drift
航标：aids to navigation
响应模型：Response model
微小卫星：micro satellite
牵引性能：tractive performance
红外抑制器：infrared suppressor
拟合公式：Fitting formula
维修优化：maintenance optimization
图论模型：graph theory model
流体传动与控制：turn and control of fluid
总压恢复：total pressure recovery
等效系统：equivalent system
传导干扰：conducted EMI
核心机：core engine
轴流风扇：axial fan
飞机装配：aircraft assembly
无线电罗盘：radio compass
微陀螺：micro gyroscope
喷流干扰：jet interaction
压缩系统：compression system
磁航向：magnetic heading
直流力矩电机：DC torque motor
冲突探测：conflict detection
高炮：antiaircraft gun
运动预测：motion estimation
微型发动机：micro engine
随机振动试验：Random vibration test
近空间：Near space
无人飞行器：Unmanned Aerial Vehicle
导航技术：navigation technology
等效力学模型：equivalent mechanical model
涡流发生器：Vortex generator
展开机构：deployment mechanism
计算网格：computational grids
可靠性参数：reliability parameter
飞行弹道：flight trajectory
三体问题：Three-body problem
箔条云：chaff cloud
航空弹药：air ammunition
构型设计：Configuration design
嵌入式设备：embedded equipment
软件算法：software algorithm
大气模式：atmospheric model
Spalart-Allmaras湍流模型：Spalart-Allmaras turbulence model
声疲劳：sonic fatigue
绳系卫星：tethered satellite
最小奇异值：minimum singular value
贪婪策略：greedy strategy
内在因素：internal factors
理论与应用：theory and application
卫星通信网：Satellite communication network
随机响应分析：random response analysis
超音速进气道：supersonic inlet
自主着陆：autonomous landing
旋涡泵：vortex pump
接触状态：contact state
智能决策支持：Intelligent decision support
任务可靠度：mission reliability
标度因子：scale factor
多故障：multiple faults
超临界翼型：supercritical airfoil
单粒子：single particle
SOFM网络：SOFM network
管理和控制：management and control
探空火箭：sounding rocket
拆卸序列规划：disassembly sequence planning
飞行能力：flight capacity
多维标度：Multidimensional scaling
环形谐振器：ring resonator
绝缘缺陷：Insulation defect
极端温度：extreme temperature
网络效率：Network Efficiency
再平衡回路：Rebalance loop
记录仪：recording instrument
梯度材料：Functionally graded material
Cf/SiC复合材料：Cf/SiC composites
HTPB推进剂：HTPB propellant
动物蛋白：animal protein
持久寿命：stress rupture life
磨粒：abrasive particle
反气相色谱法：inverse gas chromatography
红外热像仪：thermal imager
制造特征：Manufacturing feature
CFD技术：CFD technique
永磁：permanent magnets
低熔点合金：low melting point alloy
当量比：equivalence ratio
结构尺寸：structure size
分布载荷：distributed load
对流传质：convective mass transfer
检测仪：detection instrument
工艺信息模型：process information model
数据记录仪：Data recorder
变尺度法：variable metric method
PET：poly(ethylene terephthalate)
优化调整：Optimization adjustment
事故原因：accident cause
旋转盘：rotating disk
设备研制：equipment development
铣削力：cutting force
可视化模型：visual model
热测试：thermal test
喷气发动机：jet engine
弹流润滑：elasto-hydrodynamic lubrication
超高真空：ultra-high vacuum
飞机蒙皮：aircraft skin
鞍点规划：Saddle point programming
点火试验：ignition test
空气龄：air age
气体辐射：gas radiation
抛物面天线：paraboloid antenna
速度剖面：velocity profile
随机摄动：random perturbation
分离控制：separation control
损伤度：damage degree
反压：back pressure
高分辨率成像：high resolution imaging
抗荷服：anti-G suit
非定常流场：unsteady flow field
CFD方法：CFD method
地球扁率：earth oblateness
起动特性：starting characteristics
碟形飞行器：flying saucer
红外信号：infrared signal
RANS方程：RANS equations
联邦滤波：federal filtering
热试验：thermal test
控制力矩陀螺：control moment gyroscope
像旋：image rotation
MEMS陀螺：MEMS Gyroscope
重叠网格：overlapping grid
星模拟器：Star simulator
太阳帆板：Solar array
稳定回路：stabilization loop
绝对定位：absolute positioning
纵向控制：longitudinal control
飞参数据：flight data
气动模型：aerodynamic model
防滑刹车：anti-skid braking
指挥自动化：command automation
Kane方程：Kane equation
窗函数：window functions
精跟踪：fine tracking
Lyapunov方法：Lyapunov methods
杆臂效应：lever arm effect
J2摄动：J2 perturbation
故障特征提取：fault feature extraction
水冲压发动机：water ramjet
跑道容量：runway capacity
阵风响应：gust response
转捩模型：transition model
制导与控制：guidance and control
免疫Agent：immune agent
地球模拟器：earth simulator
无刷电机：brushless DC motor
六自由度：six degree of freedom
广义卡尔曼滤波：extended Kalman filter
星间链路：Inter-satellite links
附面层抽吸：boundary layer suction
飞机风挡：aircraft windshield
稳态特性：steady-state characteristic
压电陀螺：piezoelectric gyroscope
模糊综合：Fuzzy synthesis
推进性能：Propulsive performance
环境控制系统：environmental control system
大迎角空气动力学：high angle of attack aerodynamics
颗粒阻尼：particle damping
星图识别：star pattern recognition
辐射干扰：radiated interference
固态发射机：solid-state transmitter
零控脱靶量：zero effort miss
数码显示：digital display
卫星定位系统：Satellite positioning system
气弹稳定性：aeroelastic stability
无线测量：Wireless measurement
双三角翼：double delta wing
超声速流动：supersonic flow
多刚体动力学：multi-body dynamics
阻尼套筒：Damping sleeve
化学非平衡：chemical non-equilibrium
软件构架：software framework
导航误差：navigation error
参数误差：parameter error
叶顶间隙：blade tip clearance
POS系统：POS system
动平衡试验：dynamic balance test
报文格式：message format
气动耦合：aerodynamic coupling
轴心轨迹：shaft orbit
μ分析：μ analysis
热斑：hot streak
阻力计算：resistance calculation
同步解调：synchronous demodulation
相对轨道：Relative orbit
PCI驱动：PCI driver
月球着陆器：lunar lander
姿控系统：Attitude control system
空间环境模拟器：space environment simulator
数控振荡器：numerically controlled oscillator
结构修改：structure modification
内弹道计算：interior ballistic calculation
抗混叠滤波：anti-aliasing filter
不确定性理论：Uncertainty theory
分层诊断：hierarchical diagnosis
前飞：forward flight
数传：Data transmission
军机：military aircraft
自由涡：free vortex
流场畸变：Flow distortion
模型跟踪：model tracking
月球卫星：Lunar satellite
单光子计数：Single photon counting
等离子体发动机：Plasma engine
推进剂雾化：Propellant spray
空间调制：spatial modulation
发动机故障：Engine failure
RBF-ARX模型：RBF-ARX model
扩展机制：extension mechanism
估价函数：evaluation function
内建电场：built-in electric field
二次喷射：Secondary injection
温度平流：Temperature advection
虚拟影像：virtual image
智能夹层：SMART layer
物性参数：physical parameters
恒电流：constant current
振动台：vibrating table
铣削参数：milling parameters
乙醚：diethyl ether
动量比：momentum ratio
动力调谐陀螺：dynamically tuned gyro
片层组织：lamellar structure
金属泡沫：metal foam
SiO2气凝胶：SiO2 aerogel
流变应力：rheological stress
模糊RBF神经网络：fuzzy RBF neural network
柱状晶：columnar grain
协同控制：synergetic control
吸波：microwave absorption
加速因子：Acceleration factor
离子推力器：Ion thruster
解析计算：analytical calculation
直接法：direct process
整体结构件：Monolithic component
指前因子：pre-exponential factor
分层裂纹：delamination crack
含硼推进剂：boron-based propellant
接触非线性：contact nonlinearity
旋流：rotational flow
旋涡流动：vortex flow
Herschel-Bulkley模型：Herschel-Bulkley model
效能评价：efficiency evaluation
频率因子：frequency factor
响应速度：response rate
振动载荷：vibration load
机型：Mill Type
软硬件协同设计：hardware/software codesign
模态叠加法：modal superposition method
液压驱动：hydraulic driving
定向断裂：directional fracture
三角模糊数互补判断矩阵：triangular fuzzy number complementary judgment matrix
出口温度：Outlet temperature
极差：extreme difference
非线性控制器：non-linear controller
无机胶粘剂：inorganic adhesive
UG二次开发：Secondary development of UG
空闲时间：idle time
复合材料层压板：Composite laminate
故障识别：fault diagnosis
时序控制：sequence control
实现方法：realizing method
双转子：Double rotor
热传导率：thermal conductivity
湍流流场：turbulent flow field
极限环振荡：Limit cycle oscillation
多源信息融合：Multi-information fusion
流动传热：flow and heat transfer
数据提取：data extracting
红外材料：infrared material
结构化网格：structured grid
电弧加热器：Arc heater
代表性体积元：representative volume element
分布式能源：distributed energy system
LQR方法：LQR method
空气动力学粗糙度：aerodynamic roughness
电磁干扰(EMI)：electromagnetic interference(EMI)
蠕变疲劳：creep fatigue
时分复用：time division multiplex
乘坐舒适性：riding comfort
先进复合材料：advanced composites
故障数据：Failure data
柔性材料：Flexible material
修正方法：correction method
粗神经网络：rough neural network
伪谱法：pseudo-spectral method
离心加速度：centrifugal acceleration
实时多任务：real time multitask
活塞发动机：piston engine
惯性系统：inertial system
航天医学：space medicine
贝叶斯概率：Bayesian probability
自适应模型：Self-adaptive model
振动应力：vibration stress
电磁兼容(EMC)：electromagnetic compatibility(EMC)
前缘涡：leading-edge vortex
正实性：positive realness
干涉成像光谱仪：interference imaging spectrometer
非周期任务：aperiodic task
工程测量技术：engineering survey technology
收缩比：contraction ratio
俯仰角：pitch angle
航天器交会：spacecraft rendezvous
静止气象卫星：geostationary meteorological satellite
全柔性机构：fully compliant mechanism
光纤环：fiber coil
动力缩聚：Dynamic condensation
任务分析：mission analysis
电子侦察卫星：electronic reconnaissance satellite
硬件在回路仿真：hardware-in-the-loop simulation
线性变参数：linear parameter-varying
环境谱：environment spectrum
自动布线：automatic routing
沥青道面：asphalt pavement
旋转盘腔：rotating cavity
柔性航天器：flexible spacecraft
非结构动网格：dynamic unstructured grid
驱动电压：actuation voltage
相对姿态：Relative attitude
共线方程：collinear equation
强跟踪滤波：Strong tracking filter
多余力矩：Extraneous torque
处理机匣：casing treatment
低压涡轮：low-pressure turbine
零偏稳定性：bias stability
CCD噪声：CCD noise
发射窗口：launch window
Pareto遗传算法：Pareto genetic algorithm
姿态更新：attitude updating
重要抽样法：importance sampling
单站无源定位：single station passive location
空间环境模拟：space environment simulation
离散速度坐标法：discrete velocity ordinate method
终端系统：terminal system
尾桨：tail rotor
叶栅：blade cascade
热阻模型：thermal resistance model
卫星设计：satellite design
定量反馈理论：quantitative feedback theory(QFT)
压差阻力：pressure drag
机载合成孔径雷达：airborne synthetic aperture radar
动力舱：engine compartment
轴承腔：bearing chamber
状态监视：condition monitoring
动中通：satellite communication in motion
主动磁控：active magnetic control
间隙流动：tip clearance flow
最优轨迹：optimal trajectory
控制规律：control rule
惯性导航系统(INS)：inertial navigation system(INS)
发散冷却：transpiration cooling
误差四元数：error quaternion
土壤力学：soil mechanics
多领域建模：multi-domain modeling
线性稳定性理论：linear stability theory
扩展卡尔曼滤波(EKF)：extended Kalman filter(EKF)
伽利略系统：Galileo system
仪表着陆系统：instrument landing system
空间监视：space surveillance
电涡流位移传感器：eddy current displacement sensor
振动衰减：vibration attenuation
离散相：Discrete phase
极值搜索算法：extremum seeking algorithm
面向对象的方法：Object-oriented method
耗能减振：energy dissipation
使用可靠性：operational reliability
人机结合：human-computer cooperation
涡管：vortex tube
点火过程：ignition process
有源相控阵天线：active phased array antenna
非合作目标：Non-cooperative target
飞机除冰车：aircraft deicing vehicle
最大独立集：Maximum independent set
安全关键：safety critical
推力损失：Thrust loss
可调度分析：schedulability analysis
Kirchhoff方程：Kirchhoff equation
喷泉码：fountain codes
非线性项：nonlinear term
等离子体气动激励：plasma aerodynamic actuation
回弹补偿：springback compensation
可信软件：trusted software
脉冲爆轰发动机：Pulse detonation engine
固化反应动力学：Cure kinetics
推理引擎：reasoning engine
轴流式通风机：axial fan
转换矩阵：conversion matrix
高温空气燃烧：high-temperature air combustion
搭接长度：lap length
放射源：radiation source
表征方法：characterization methods
分离特性：Separation Characteristic
毛细效应：capillary effect
测试分析：measurement and analysis
大尺寸测量：Large-scale measurement
四氧化二氮：dinitrogen tetroxide
工艺系统：technology system
ZL205A合金：ZL205A alloy
贮存性能：storage property
气动回路：Pneumatic circuit
有限元分析法：finite element analysis
辐照效应：irradiation effects
泡沫材料：foam materials
压电智能结构：piezoelectric smart structures
军事化学：military chemistry
反射法：Reflection method
盒维数：box counting dimension
导热反问题：inverse heat conduction
SiC/Al复合材料：SiC/Al composites
人误：human error
磁流变弹性体：magnetorheological elastomers
比较测量：Comparative measurement
气浮轴承：gas bearing
能量损失：energy losses
表面技术：surface engineering
300M钢：300M steel
EMD分解：Empirical Mode Decomposition
PCI9052：PCI 9052
安全水平：safety level
Kirchhoff积分法：Kirchhoff integral method
位姿测量：position and attitude measurement
Stewart机构：Stewart platform
连接螺栓：connecting bolt
现场标定：field calibration
参数不确定性：parameters uncertainty
升降法：Up-and-down method
示踪粒子：tracer particle
金属热防护系统：metallic thermal protection system
试验模态：experimental modal
分布式卫星：Distributed satellite
质谱分析：mass spectrographic analysis
圆柱面：Cylindrical surface
散热量：heat dissipation
不确定性系统：uncertainty system
转速控制：rotate speed control
应用物理学：applied physics
光学效应：optical effect
低速：Low velocity
组件对象模型：component object model (COM)
比相：phase comparison
集中监控：centralized monitoring and control
飞行事故：flight accident
LabVIEW编程：LabVIEW programming
大型结构：large structure
测量与控制：Measurement and control
NR：natural rubber
流动场：flow field
计算流体动力学(CFD)：computational fluid dynamics
SIMPLE方法：SIMPLE method
航迹：flight path
随机噪声：random noises
热传导方程：Heat-conduction equation
测角精度：Angle measurement accuracy
相位特性：Phase property
密度传感器：Density Sensor
耐热树脂：heat-resistant resin
脉冲法：Pulse method
控制能力：Control ability
方向余弦矩阵：direction cosine matrix
航天器控制：spacecraft control
信息分发：information dissemination
易损面积：vulnerable area
大攻角：large attack angle
湍流减阻：turbulent drag reduction
概率推理：probability inference
非对称涡：asymmetric vortex
成像调度：imaging scheduling
宽频段：wide frequency band
耦合故障：Coupling fault
民机：civil aircraft
薄壁杆件：thin-walled beam
端壁翼刀：endwall fence
无尾飞机：tailless aircraft
平淡卡尔曼滤波：unscented Kalman filter
递推最小二乘法：recursive least square
脉冲风洞：impulse wind tunnel
评估准则：evaluation rule
集中质量模型：lumped mass model
叶尖泄漏涡：tip leakage vortex
掠叶片：swept blade
温度分层：thermal stratification
高度角：elevation angle
历次测试数据：Successive test data
惯导平台：Inertial navigation platform
定位模型：positioning model
等效线性化法：equivalent linearization method
扰动模型：disturbance model
制导技术：guidance technology
月壤：lunar soil
主轴密封：main shaft seal
发电机控制器：generator control unit
坐标测量：coordinate measuring
导航战：navigation war
损伤概率：damage probability
干扰力矩：disturbance torque
Lagrange乘数法：Lagrange multiplier method
飞行冲突：flight conflict
无轴承开关磁阻电机：bearingless switched reluctance motor
李萨如图：Lissajous figure
侧向喷流：side jet
爬行波：creeping wave
提离效应：Lift-off effect
模糊隶属度：fuzzy membership degree
备件库存：spare parts inventory
瞄准线稳定：line of sight stabilization
航天测控：space TT&C
三维姿态：3D pose
截断奇异值分解：truncated singular value decomposition
并行分布补偿：parallel distributed compensation
平流层飞艇：Stratosphere airship
北斗系统：Beidou system
一体化仿真：integrated simulation
足尺模型：full-scale model
直升机桨叶：helicopter blade
动态加权：dynamic weighting
动力涡轮：power turbine
微惯性测量单元：micro inertial measurement unit
飞控软件：flight control software
空间科学：space science
临界平面：Critical plane
Walker星座：Walker constellation
反面选择算法：negative selection algorithm
被动声定位：Passive acoustic localization
脉冲爆震：pulse detonation
中心矩：central moment
耦合运动：Coupled motion
锤击法：Hammering Method
跨声速压气机：transonic compressor
层流边界层：laminar boundary layer
矢量投影：vector projection
高阶格式：high order scheme
测量算法：measurement algorithm
优先连接：preferential attachment
旋流燃烧：swirl combustion
温度畸变：temperature distortion
速度匹配：speed matching
复合材料机翼：composite wing
非线性模态：nonlinear normal modes
液态水含量：liquid water content
飞行间隔：flight separation
梯度下降算法：gradient descent algorithm
RCS：radar cross section
间断有限元：discontinuous Galerkin
侧喷流：lateral jet
燃烧不稳定性：combustion instability
公因子：common factor
内流通道：internal passage
消声室：anechoic room
气动载荷：aerodynamic load
职业素养：professional attainment
二硝酰胺铵：ammonium dinitramide
自适应逆：adaptive inverse
回归法：Regression method
离心喷嘴：Centrifugal injector
空间光学遥感器：space optical remote sensor
数据记录器：data recorder
地球同步卫星：Geosynchronous satellite
控制体系结构：control architecture
移相全桥变换器：Phase-shifted full-bridge converter
舍入误差：rounding error
遥感系统：remote sensing system
定位导航：positioning and navigation
SHEL模型：SHEL model
温度仿真：temperature simulation
混合控制器：hybrid controller
热可靠性：thermal reliability
带宽选择：bandwidth selection
安全模式：security mode
滑行力：planing force
全向天线：omni-directional antenna
威胁模型：Threat Model
SEA方法：SEA method
知识存量：knowledge stocks
超支化聚氨酯：hyperbranched polyurethane
逆风格式：Upwind scheme
队形保持：formation keeping
微型涡轮发动机：micro turbine engine
抢修性：combat resilience
温度稳定性：thermal stability
凝胶推进剂：gelled propellant
活化能：apparent activation energy
材料选用：material selection
三通管：three-way pipe
TiC涂层：TiC coating
曲面展开：surface flattening
导电填料：conductive fillers
SiO_2气凝胶：SiO_2 aerogel
比刚度：specific stiffness
金属燃料：metal fuel
退移速率：regression rate
整体叶轮：Integrated Impeller
风冷：wind cooling
小脑模型神经网络：CMAC Neural Network
端盖：End cover
颤振抑制：Chatter suppression
防护装置：protection device
漏率：Leakage rate
头盔显示器：Head-mounted display
管径：Tube diameter
成形模具：forming die
氟醚橡胶：fluoroether rubber
数据综合：data integration
天线反射面：antenna reflector
固有特性：Inherent characteristics
空气循环：air cycle
动力学机理：kinetic mechanism
最佳控制：optimum control
烧蚀材料：ablation material
绝热至爆时间：adiabatic time-to-explosion
轨道设计：track design
特征量：characteristic parameter
原位观测：in-situ observation
出口压力：outlet pressure
线胀系数：coefficient of linear expansion
光学传感器：optical sensors
统计能量分析法：statistical energy analysis
麦克斯韦方程组：maxwell equation
减压阀：Pressure relief valve
综合集成：comprehensive integration
热力学循环：thermodynamic cycle
壳体：shell body
高速撞击：high speed impact
轨迹设计：trajectory design
线性化模型：linearized model
承载性能：bearing capability
整体结构：Whole structure
热化学非平衡：thermochemical nonequilibrium
航天工业：aerospace industry
力学环境：Mechanical environment
SQP算法：SQP method
空间技术：spatial technology
PCB：printed circuit board
热色液晶：thermochromic liquid crystal
流动损失：flow loss
估计误差：estimation error
试验台架：test bench
加速过程：acceleration process
地球静止轨道：Geostationary orbit
分支分析：Bifurcation analysis
分析工具：Analysis tool
谐波响应：harmonic response
轨道演化：Orbital evolution
两相流场：Two-phase flow field
低温试验：low temperature test
频率漂移：Frequency shift
偏差估计：bias estimation
局部重建：local reconstruction
流量调节器：Flow Regulator
驾驶员诱发振荡：pilot induced oscillation
非线性仿真：nonlinear simulation
动导数：dynamic derivatives
尾涡：trailing vortex
调制传递函数(MTF)：modulation transfer function(MTF)
动压反馈：Dynamic pressure feedback
流动失稳：flow instability
对偶四元数：dual quaternion
推进效率：propulsion efficiency
间隙涡：tip clearance vortex
机载计算机：onboard computer
轨道动力学：Orbital dynamics
双DSP：double DSP
协同制导：cooperative guidance
Whipple防护结构：Whipple shield
爆震燃烧：detonative combustion
翼型设计：airfoil design
交流电子负载：AC electronic load
马赫盘：Mach disk
高超声速巡航飞行器：hypersonic cruise vehicle
大气效应：atmospheric effect
实时模型：real-time model
分布式卫星系统：Distributed satellite system
降阶模型：reduced order model
测风：wind measurement
反步控制：backstepping control
检测门限：detection threshold
高度控制：altitude control
NS方程：NS equation
统一模型：uniform model
硬件电路：hardware circuits
磨损故障：wear fault
偏航角：yaw angle
小型飞行器：small aircraft
SINS/GPS组合导航：SINS/GPS integrated navigation
零质量射流：synthetic jet
靶场：shooting range
旋流杯：swirl cup
航天器结构：spacecraft structure
拉格朗日法：Lagrange method
航天发射：Space launch
侧压式进气道：sidewall compression inlet
极限环颤振：limit cycle flutter
小型无人机：small UAV
快速传递对准：rapid transfer alignment
搜索概率：search probability
机翼摇滚：wing rock
压实系数：compacting factor
活塞式发动机：piston engine
计算机图像生成：computer image generation
用户星：User satellite
Hamilton-Jacobi方程：Hamilton-Jacobi equations
三角波：triangular wave
多层快速多极子算法：multilevel fast multipole algorithm
改进BP网络：Improved BP network
铝蜂窝：aluminum honeycomb
极小值原理：minimum principle
静气动弹性：static aeroelasticity
电子罗盘：digital compass
粒子图像速度场仪：particle image velocimetry
应变天平：strain gauge balance
区间扩张：interval extension
空间遥感器：space remote sensor
低温阀门：cryogenic valve
闭环检测：closed-loop detection
对数正态：lognormal distribution
激光推力器：laser thruster
吸引域：attraction domain
工况分析：working condition analysis
空战决策：air combat decision
平衡流形：equilibrium manifold
航电系统：avionics system
钝锥：blunt cone
太阳翼：Solar array
电液伺服加载：electro-hydraulic servo loading
傅里叶变换透镜：Fourier transform lens
抗振设计：anti-vibration design
模态转换：mode transition
再入轨迹：reentry trajectory
空化特性：cavitation characteristics
规划策略：planning strategy
图像处理算法：image processing algorithm
飞机排序：aircraft sequencing
姿态角速度：attitude angular velocity
驻涡燃烧室：trapped vortex combustor
飞行参数：flight data
壁面压力：wall pressure
涵道风扇：ducted fan
存储测试：memorized test and measurement
热驱动：thermally driven
石英陀螺：quartz gyroscope
Modelica语言：Modelica language
反推控制：Backstepping control
DR算法：DR algorithm
诱导阻力：induced drag
弹道方程：Trajectory Equation
重建误差：reconstruction error
滤波发散：filter divergence
气膜冷却效率：film cooling effectiveness
变比热：variable specific heat
SiC反射镜：SiC Mirror
水下滑翔机：underwater glider
流动换热：flow and heat transfer
离子发动机：Ion thruster
激光导星：laser guide star
速率偏频：rate bias
高超声速风洞：hypersonic wind tunnel
信号覆盖：Signal Coverage
拉格朗日松弛算法：Lagrangian relaxation algorithm
陀螺电机：Gyro motor
电磁波散射：electromagnetic scattering
伪逆法：pseudo-inverse method
变换域处理：transform domain processing
高度特性：altitude characteristics
球面三角：spherical trigonometry
测力试验：force test
复杂工程系统：complex engineering system
情报侦察：intelligence reconnaissance
辐射加固：radiation hardening
非线性辨识：Nonlinear identification
传感器建模：sensor modeling
多卫星系统：Multi-satellite system
带通：band pass
初轨确定：initial orbit determination
轨迹生成：path generation
桥函数：bridge function
阿伦方差：Allan variance
建模误差：modeling error
末端能量管理：Terminal area energy management
区间预测：interval prediction
火箭喷管：rocket nozzle
飞机工程：aircraft engineering
变结构控制器：variable structure controller
跟踪环路：tracking loop
数字电子控制器：digital electronic controller
成像卫星：Imaging satellite
导航算法：Navigation Algorithm
步行轮：Walking wheel
堵塞流：blocking flow
突发错误：burst error
安全信道：security channel
光纤环形腔：fiber optic ring resonator
膜单元：membrane element
可达集：reachable set
MIL-STD-1553B总线：MIL-STD-1553B Bus
分配效率：allocation efficiency
极地：polar region
锁定效应：Lock-in effect
职业定位：professional orientation
Eulerian模型：Eulerian model
IC10合金：IC10 alloy
镁铝合金：Mg-Al alloy
近空间飞行器：near space vehicle
反应速率：reaction velocity
声衬：acoustic liner
自抗扰控制器：auto-disturbance rejection controller(ADRC)
储能密度：energy storage density
损伤检测：damage identification
冷却特性：cooling characteristic
摩擦力矩：moment of friction
离心应力：centrifugal stress
滚珠丝杠副：Ball screws
光干涉：light interference
波纹板：corrugated plates
5A06铝合金：5A06 aluminium alloy
动力装置：power unit
反应介质：Reaction media
扫描法：scanning method
救灾：disaster rescue
隔热材料：insulating material
广义特征值：Generalized eigenvalue problem
非线性时间序列：nonlinear time sequence
冷凝管：Condenser tube
双马树脂：bismaleimide resin
数字温度传感器：digital temperature transducer
市场分布：market distribution
密封盖：sealing cover
波前畸变：wavefront aberration
入口压力：Inlet pressure
强度分析：stress analysis
压电作动器：piezoelectric actuators
平行航路：parallel routes
多步法：multistep method
雾化角：spray angle
热物性参数：Thermophysical parameters
基体材料：Matrix material
化学反应动力学：chemical reaction dynamics
顶事件：Top event
化学电源：chemical power
尺寸参数：dimension parameter
发动机叶片：engine blade
缓冲性能：cushioning property
小子样：small samples
低频率：low frequency
区域分解：domain decomposition method
力传感器：force sensors
低温特性：low temperature characteristics
模型树：model tree
热平衡方程：thermal balance equation
二级轻气炮：Two-stage light-gas gun
防热：Thermal protection
变流量：Variable flow rate
灰理论：gray theory
